const,IDL,Log_Personal,Log_Capital,Prop_Calificado,Edad_Empresa,Margen_ValAg,Apalancamiento,Pct_Capital_Ext,Pct_Servicios,tic4_4c,tic7_4,tic3_1,MacroSector_2.0,MacroSector_3.0,MacroSector_4.0,MacroSector_5.0,Region_2.0,Region_3.0,Region_4.0
1.0,-0.6082683148779842,5.568344503761097,11.483332414632645,0.36015325670498083,39,0.446222183148758,0.9797337485299646,0.0,0.0,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.605906863270302,3.713572066704308,10.601771517201225,0.05,39,0.6503213428382303,0.43867056336276583,0.0,0.0035970010067331603,2.0,2.0,2.0,0,1,0,0,0,0,0
1.0,0.02334862463998945,5.318119993844216,12.610641917357238,0.2857142857142857,39,0.22548774127026658,0.5966482683574473,0.0,0.0,1.0,2.0,1.0,0,0,0,0,0,0,0
1.0,-0.17479476750814843,5.267858159063328,11.770014180135174,0.05699481865284974,37,0.3344689195497221,0.2039157149799149,0.0,0.0,1.0,2.0,1.0,0,0,0,0,0,0,0
1.0,-0.16549379014549595,5.723585101952381,12.432087271362695,0.26885245901639343,37,0.36908055260305833,0.5434480715690421,0.0,0.0,1.0,2.0,2.0,0,0,0,0,0,0,0
1.0,-0.29220351624899166,5.605802066295998,12.389887981529188,0.3505535055350554,36,0.43983691109160306,0.5509969555378523,0.0,0.0,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.29996894858913004,6.129050210060545,11.544493334299771,0.18995633187772926,36,0.6381015264269888,0.2668722345300656,0.0,0.0,2.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.451656971085849,5.631211781821365,11.575832271142266,0.07194244604316546,36,0.36814413103077925,0.6943565633426764,0.0,0.0003882039681466255,1.0,2.0,2.0,0,0,0,0,0,0,0
1.0,-0.024548756638225686,6.961296045910167,12.128807358875084,0.04364326375711575,35,0.20264696408466715,0.5867144710228362,0.0,0.0004196109675787942,1.0,2.0,1.0,0,0,0,0,0,0,0
1.0,-0.4652472341336485,4.90527477843843,12.001531621741858,0.08208955223880597,35,0.7205371764128692,0.8335357909009878,0.0,0.04092398668658903,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.13879448744994646,6.453624998892692,11.894516242286572,0.12933753943217666,35,0.33319343792319306,0.6528538382677016,0.99,0.005558796502654438,1.0,2.0,2.0,0,0,0,0,0,0,0
1.0,-0.2813751915063745,4.418840607796598,12.487147542248058,0.21951219512195122,34,0.22212547224133813,0.6336237898769318,0.0,0.0,1.0,2.0,2.0,0,0,0,0,0,0,0
1.0,-0.1897968177720248,4.553876891600541,12.010513409191761,0.05319148936170213,32,0.7303198959206542,0.6628015602809447,0.0,0.0,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,0.09128748225801626,4.941642422609304,12.85756885722023,0.6258992805755396,32,0.5758223612967059,0.5731319454090585,0.0,0.028334114814527602,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.23296893861946472,3.4965075614664802,13.277218451944513,0.03125,32,0.3789141729763796,0.7259001547555036,0.0,0.0,1.0,1.0,2.0,0,1,0,0,0,0,0
1.0,-0.5503184944351734,2.6390573296152584,12.11067176930536,0.15384615384615385,31,0.725166756142583,0.10851528448948108,0.0,0.0,2.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.2640705058805547,6.371611847231857,11.604799783203097,0.20034246575342465,30,0.35761011782171165,0.3109000090988506,0.3,0.0008019821676272658,1.0,2.0,1.0,0,0,0,0,0,0,0
1.0,-0.5305106714951787,4.143134726391533,11.013460334555496,0.08064516129032258,30,0.8226601452880128,0.5012428105165797,0.0,0.0,2.0,2.0,2.0,0,1,0,0,0,1,0
1.0,-0.5037656602084213,3.091042453358316,11.626079390109604,0.047619047619047616,30,0.7216680834986304,0.1943936981622475,0.0,0.0022603511954901834,2.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.4686002995737284,3.6635616461296463,11.252845589298696,0.13157894736842105,29,0.6382930467082525,0.286619149107561,0.0,0.0,2.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.5541839834918802,4.890349128221754,10.828497584829012,0.06818181818181818,29,0.7080604079211241,0.793813808951394,0.0,0.0028409703657612,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.3655206608549919,4.912654885736052,11.600410902414948,0.17777777777777778,47,0.5311453548512372,0.6071713405909996,0.0,0.0,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,0.001296281257074386,3.6888794541139363,12.89652285920886,0.2564102564102564,27,0.7519391048535529,0.41504780997747454,0.0,0.0007476345396399982,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,2.426280713532108,2.5649493574615367,14.531719224803094,1.0,26,0.6967201894857379,0.5381784409094583,0.0,0.2345224763443556,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,0.18093269298536815,3.8501476017100584,13.331146042170344,0.13043478260869565,26,0.739873380737644,0.6902694771413255,0.0,0.00851700762616638,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.36469484776946415,2.6390573296152584,12.473308751094924,0.07692307692307693,26,0.5855932153287692,0.05623740245088023,0.0,0.001834375736969802,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,0.048213021381175905,4.584967478670572,12.970489492028543,0.21649484536082475,26,0.43119332357648565,0.5044408655681603,0.0,0.0,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.40541187302998516,3.970291913552122,11.141866521583779,0.0,26,0.7293128416102408,0.5534769709292036,0.0,0.004711648759813069,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.09603303287094858,5.1298987149230735,12.378841227534423,0.1488095238095238,25,0.35182608563579415,0.5857939192953612,0.0,0.0,1.0,2.0,2.0,0,0,0,0,0,0,0
1.0,-0.36172901795519513,4.51085950651685,11.621466018942186,0.43333333333333335,25,0.7251864387643695,0.4746201589132755,0.0,0.0018042041013534588,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.18774941385069807,6.008813185442595,11.23189879871512,0.11083743842364532,25,0.3651822339174113,0.5717508151831634,0.0,0.0,1.0,1.0,2.0,0,0,0,0,0,0,0
1.0,-0.45973550682456427,3.1354942159291497,10.857250967151728,0.09090909090909091,24,0.7326326927152682,0.8853114765582585,0.0,0.001597746715708221,2.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.35735392129848687,6.580639137284949,10.261542509097044,0.12361111111111112,24,0.7680519738609466,3.4381419358897762,0.0,0.0,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.5324534099808731,3.7612001156935624,11.368702838520274,0.023809523809523808,24,0.6383530661687178,0.6755355035387611,0.0,0.0,1.0,2.0,1.0,0,1,0,0,0,0,0
